iter	Passed	Remaining
0	1	1069
1	2	1010
2	2	991
3	3	972
4	4	961
5	5	945
6	6	927
7	7	924
8	9	1027
9	10	1031
10	11	1021
11	12	1004
12	13	994
13	13	983
14	14	975
15	15	971
16	16	966
17	17	959
18	18	953
19	19	945
20	20	941
21	21	935
22	21	931
23	22	930
24	23	931
25	25	954
26	26	957
27	27	954
28	28	950
29	29	959
30	30	958
31	31	954
32	32	950
33	33	947
34	34	944
35	35	938
36	35	935
37	36	933
38	37	930
39	38	927
40	39	929
41	40	931
42	42	934
43	42	933
44	43	933
45	44	929
46	45	926
47	46	924
48	47	922
49	48	919
50	49	917
51	50	914
52	51	912
53	52	914
54	53	916
55	54	920
56	55	921
57	56	920
58	57	921
59	58	921
60	59	920
61	60	917
62	61	916
63	62	916
64	63	914
65	64	914
66	65	912
67	66	911
68	67	910
69	68	908
70	69	906
71	70	904
72	71	902
73	72	902
74	73	901
75	74	900
76	75	900
77	76	900
78	77	902
79	78	903
80	79	901
81	80	900
82	81	899
83	82	899
84	83	898
85	84	896
86	85	899
87	86	899
88	87	897
89	88	897
90	89	895
91	90	893
92	91	892
93	92	890
94	93	889
95	94	887
96	95	886
97	95	880
98	96	878
99	97	877
100	98	876
101	99	873
102	100	874
103	101	873
104	102	872
105	103	870
106	104	869
107	105	869
108	106	868
109	107	866
110	108	865
111	109	864
112	109	862
113	110	861
114	111	860
115	112	859
116	113	858
117	114	857
118	115	857
119	116	855
120	117	854
121	118	852
122	119	851
123	120	849
124	121	847
125	121	846
126	122	844
127	123	843
128	124	842
129	125	840
130	126	839
131	127	837
132	128	836
133	129	835
134	130	834
135	131	833
136	132	832
137	133	831
138	134	830
139	134	829
140	135	828
141	136	826
142	137	825
143	138	825
144	139	824
145	140	823
146	141	822
147	142	821
148	143	818
149	144	816
150	145	815
151	146	815
152	146	813
153	147	812
154	148	811
155	149	811
156	150	810
157	151	809
158	152	807
159	153	806
160	154	805
161	155	804
162	156	802
163	157	801
164	158	800
165	159	798
166	159	797
167	160	796
168	161	796
169	162	794
170	163	793
171	164	792
172	165	791
173	166	790
174	167	789
175	168	788
176	169	787
177	170	786
178	171	785
179	172	783
180	172	782
181	173	781
182	174	780
183	175	779
184	176	778
185	177	777
186	178	775
187	179	774
188	180	773
189	181	772
190	182	771
191	182	769
192	183	768
193	184	767
194	185	766
195	186	764
196	187	763
197	188	761
198	188	760
199	189	758
200	190	758
201	191	757
202	192	754
203	193	753
204	193	751
205	194	750
206	195	748
207	196	747
208	197	745
209	197	744
210	198	742
211	199	741
212	200	739
213	200	738
214	201	736
215	202	735
216	203	733
217	203	730
218	204	729
219	205	728
220	206	727
221	207	726
222	208	724
223	208	723
224	209	722
225	210	720
226	211	719
227	212	718
228	213	717
229	213	715
230	214	714
231	215	713
232	216	711
233	216	710
234	217	708
235	218	707
236	219	706
237	220	704
238	221	703
239	221	702
240	222	701
241	223	700
242	224	698
243	225	697
244	225	696
245	226	694
246	227	693
247	228	692
248	229	690
249	229	689
250	230	687
251	231	686
252	232	685
253	232	684
254	233	682
255	234	681
256	235	680
257	236	679
258	237	678
259	237	677
260	238	675
261	239	674
262	240	673
263	240	671
264	241	670
265	242	668
266	243	667
267	243	666
268	244	665
269	245	664
270	246	662
271	246	660
272	247	659
273	248	658
274	249	657
275	250	656
276	251	655
277	251	654
278	252	652
279	253	651
280	254	650
281	254	649
282	255	647
283	256	646
284	257	645
285	258	644
286	258	642
287	259	641
288	260	640
289	261	639
290	261	637
291	262	637
292	263	636
293	264	635
294	265	634
295	266	633
296	267	632
297	268	631
298	268	630
299	269	629
300	270	628
301	271	627
302	272	626
303	273	625
304	273	624
305	274	623
306	275	621
307	276	620
308	277	620
309	278	619
310	278	618
311	279	616
312	280	616
313	281	615
314	282	614
315	283	612
316	283	611
317	284	610
318	285	610
319	286	609
320	287	608
321	288	607
322	289	606
323	290	605
324	290	604
325	291	603
326	292	602
327	293	601
328	294	599
329	295	599
330	296	598
331	296	597
332	297	596
333	298	595
334	299	593
335	300	592
336	300	591
337	301	590
338	302	589
339	303	588
340	303	587
341	304	586
342	305	585
343	306	584
344	307	583
345	307	582
346	308	580
347	309	579
348	310	579
349	311	578
350	312	577
351	312	575
352	313	574
353	314	573
354	315	572
355	316	571
356	316	570
357	317	569
358	318	568
359	319	568
360	320	567
361	321	566
362	322	565
363	322	564
364	323	563
365	324	562
366	325	561
367	326	561
368	327	559
369	328	558
370	329	557
371	329	556
372	330	555
373	331	554
374	332	553
375	332	552
376	333	551
377	334	550
378	335	549
379	336	548
380	336	547
381	337	546
382	338	545
383	339	544
384	340	543
385	341	542
386	341	541
387	342	540
388	343	539
389	344	538
390	345	537
391	345	536
392	346	535
393	347	534
394	348	533
395	349	532
396	349	531
397	350	530
398	351	529
399	352	528
400	353	527
401	353	526
402	354	525
403	355	524
404	356	523
405	357	522
406	358	521
407	358	520
408	359	519
409	360	518
410	361	517
411	362	516
412	362	515
413	363	514
414	364	513
415	365	512
416	366	511
417	366	510
418	367	509
419	368	508
420	369	507
421	370	507
422	371	506
423	372	505
424	372	504
425	373	503
426	374	502
427	375	502
428	376	501
429	377	500
430	378	499
431	379	498
432	380	497
433	380	496
434	381	495
435	382	494
436	383	493
437	384	492
438	384	491
439	385	491
440	386	490
441	387	489
442	388	488
443	389	487
444	390	486
445	390	485
446	391	484
447	392	483
448	393	482
449	393	481
450	394	480
451	395	479
452	396	478
453	397	477
454	397	476
455	398	475
456	399	474
457	400	473
458	401	472
459	402	472
460	402	471
461	403	470
462	404	469
463	405	468
464	406	467
465	406	466
466	407	465
467	408	464
468	409	463
469	410	462
470	411	461
471	411	460
472	412	459
473	413	458
474	414	457
475	415	456
476	415	456
477	416	455
478	417	454
479	418	453
480	419	452
481	420	451
482	420	450
483	421	449
484	422	448
485	423	447
486	424	446
487	424	445
488	425	444
489	426	443
490	427	442
491	427	441
492	428	440
493	429	440
494	430	439
495	431	438
496	432	437
497	433	436
498	434	435
499	435	435
500	436	434
501	437	433
502	437	432
503	438	431
504	439	430
505	440	430
506	441	429
507	442	428
508	442	427
509	443	426
510	444	425
511	445	424
512	446	424
513	447	423
514	448	422
515	449	421
516	449	420
517	450	419
518	451	418
519	452	417
520	453	416
521	453	415
522	454	414
523	455	413
524	456	412
525	457	411
526	457	410
527	458	410
528	459	409
529	460	408
530	461	407
531	462	406
532	463	405
533	464	404
534	465	404
535	465	403
536	466	402
537	467	401
538	468	400
539	468	399
540	469	398
541	470	397
542	471	396
543	472	395
544	473	395
545	474	394
546	474	393
547	475	392
548	476	391
549	477	390
550	478	389
551	479	388
552	479	387
553	480	386
554	481	385
555	482	385
556	482	384
557	483	383
558	484	382
559	485	381
560	486	380
561	486	379
562	487	378
563	488	377
564	489	376
565	490	376
566	491	375
567	492	374
568	492	373
569	493	372
570	494	371
571	495	370
572	496	369
573	497	368
574	497	367
575	498	367
576	499	366
577	500	365
578	501	364
579	502	363
580	502	362
581	503	361
582	504	360
583	505	360
584	506	359
585	507	358
586	508	357
587	509	356
588	510	356
589	511	355
590	511	354
591	512	353
592	513	352
593	514	351
594	515	350
595	516	350
596	517	349
597	518	348
598	519	347
599	520	346
600	521	346
601	522	345
602	523	344
603	523	343
604	524	342
605	525	341
606	526	340
607	527	339
608	527	338
609	528	338
610	529	337
611	530	336
612	531	335
613	531	334
614	532	333
615	533	332
616	534	331
617	535	330
618	536	329
619	537	329
620	537	328
621	538	327
622	539	326
623	540	325
624	541	324
625	542	323
626	543	323
627	544	322
628	544	321
629	545	320
630	546	319
631	547	318
632	548	317
633	549	317
634	550	316
635	550	315
636	551	314
637	552	313
638	553	312
639	554	311
640	555	310
641	556	310
642	557	309
643	558	308
644	558	307
645	559	306
646	560	305
647	561	305
648	562	304
649	563	303
650	563	302
651	564	301
652	565	300
653	566	299
654	567	298
655	567	297
656	568	296
657	569	295
658	570	295
659	571	294
660	572	293
661	572	292
662	573	291
663	574	290
664	575	289
665	576	288
666	577	288
667	577	287
668	578	286
669	579	285
670	580	284
671	581	283
672	582	282
673	582	281
674	583	281
675	584	280
676	585	279
677	586	278
678	587	277
679	588	276
680	589	275
681	589	275
682	590	274
683	591	273
684	592	272
685	593	271
686	594	270
687	595	269
688	595	268
689	596	268
690	597	267
691	598	266
692	599	265
693	599	264
694	600	263
695	602	263
696	603	262
697	604	261
698	605	260
699	606	259
700	607	258
701	608	258
702	608	257
703	609	256
704	610	255
705	611	254
706	612	253
707	613	252
708	613	252
709	614	251
710	615	250
711	616	249
712	617	248
713	618	247
714	619	246
715	620	245
716	620	245
717	621	244
718	622	243
719	623	242
720	624	241
721	624	240
722	625	239
723	626	238
724	627	237
725	628	237
726	628	236
727	629	235
728	630	234
729	631	233
730	632	232
731	633	232
732	634	231
733	635	230
734	636	229
735	637	228
736	637	227
737	638	226
738	639	225
739	640	224
740	640	224
741	641	223
742	642	222
743	643	221
744	644	220
745	645	219
746	646	218
747	647	218
748	648	217
749	649	216
750	650	215
751	650	214
752	651	213
753	652	213
754	653	212
755	654	211
756	655	210
757	656	209
758	656	208
759	657	207
760	658	206
761	659	206
762	660	205
763	661	204
764	662	203
765	663	202
766	664	201
767	665	200
768	666	200
769	666	199
770	667	198
771	668	197
772	669	196
773	670	195
774	670	194
775	671	193
776	672	193
777	673	192
778	674	191
779	675	190
780	677	189
781	677	188
782	678	188
783	679	187
784	680	186
785	681	185
786	681	184
787	682	183
788	683	182
789	684	181
790	685	181
791	686	180
792	687	179
793	687	178
794	688	177
795	689	176
796	690	175
797	691	175
798	692	174
799	693	173
800	694	172
801	695	171
802	695	170
803	696	169
804	697	169
805	698	168
806	699	167
807	700	166
808	700	165
809	701	164
810	702	163
811	703	162
812	704	161
813	704	161
814	706	160
815	707	159
816	707	158
817	708	157
818	709	156
819	710	155
820	711	155
821	711	154
822	712	153
